ZFIN ID	SO ID	Symbol	NCBI Gene ID	
ZDB-GENE-000511-4	SO:0001217	dap1b	58094
ZDB-GENE-000511-6	SO:0001217	baxa	58081
ZDB-GENE-000511-7	SO:0001217	mcl1a	58122
ZDB-GENE-000511-8	SO:0001217	slc40a1	58153
ZDB-GENE-000516-1	SO:0001217	fbxw4	58035
ZDB-GENE-000517-1	SO:0001217	fgd	58075
ZDB-GENE-000523-2	SO:0001217	pou4f1	58057
ZDB-GENE-000524-1	SO:0001217	slc34a2a	58148
ZDB-GENE-000526-1	SO:0001217	hey2	58146
ZDB-GENE-000605-1	SO:0001217	runx1	58126
ZDB-GENE-000605-2	SO:0001217	runx3	58127
ZDB-GENE-000607-1	SO:0001217	pcdh18a	572532
ZDB-GENE-000607-13	SO:0001217	sox5	567413
ZDB-GENE-000607-14	SO:0001217	id:ibd2170	57950
ZDB-GENE-000607-16	SO:0001217	bcl7a	57952
ZDB-GENE-000607-21	SO:0001217	slc7a6	57957
ZDB-GENE-000607-23	SO:0001217	id:ibd5069	57959
ZDB-GENE-000607-24	SO:0001217	id:ibd5025	57960
ZDB-GENE-000607-26	SO:0001217	id:ibd5011	57962
ZDB-GENE-000607-29	SO:0001217	id:ibd5038	57965
ZDB-GENE-000607-3	SO:0001217	id:ibd1017	57939
ZDB-GENE-000607-46	SO:0001217	id:ibd5010	57984
ZDB-GENE-000607-49	SO:0001217	adgrl2a	57987
ZDB-GENE-000607-52	SO:0001217	kat6b	568932
ZDB-GENE-000607-58	SO:0001217	tlcd5a	562331
ZDB-GENE-000607-62	SO:0001217	id:ibd5052	58000
ZDB-GENE-000607-65	SO:0001217	evla	58003
ZDB-GENE-000607-70	SO:0001217	hey1	58008
ZDB-GENE-000607-73	SO:0001217	id:ibd1043	58011
ZDB-GENE-000607-75	SO:0001217	noc2l	58013
ZDB-GENE-000607-77	SO:0001217	si:ch211-285f17.1	562465
ZDB-GENE-000607-78	SO:0001217	hccsb	58016
ZDB-GENE-000607-8	SO:0001217	id:ibd2908	57944
ZDB-GENE-000607-80	SO:0001217	sv2	570651
ZDB-GENE-000607-82	SO:0001217	wwp2	564527
ZDB-GENE-000607-83	SO:0001217	krt4	794486
ZDB-GENE-000616-1	SO:0001217	badb	58100
ZDB-GENE-000616-10	SO:0001217	smx5	57924
ZDB-GENE-000616-11	SO:0001217	stk19	57929
ZDB-GENE-000616-13	SO:0001217	appa	58083
ZDB-GENE-000616-14	SO:0001217	gart	58141
ZDB-GENE-000616-15	SO:0001217	foxh1	57930
ZDB-GENE-000616-16	SO:0001217	hsf1	58123
ZDB-GENE-000616-2	SO:0001217	dedd1	58125
ZDB-GENE-000616-3	SO:0001217	caspa	57933
ZDB-GENE-000616-4	SO:0001217	apaf1	58131
ZDB-GENE-000616-5	SO:0001217	adar	58119
ZDB-GENE-000616-6	SO:0001217	myf5	58097
ZDB-GENE-000616-8	SO:0001217	prph2a	58085
ZDB-GENE-000616-9	SO:0001217	prph2b	559209
ZDB-GENE-000619-1	SO:0001217	cxcl14	58151
ZDB-GENE-000622-1	SO:0001217	gata6	58076
ZDB-GENE-000626-1	SO:0001217	tnnt2a	58071
ZDB-GENE-000627-1	SO:0001217	fabp7a	58128
ZDB-GENE-000627-2	SO:0001217	adarb1a	58134
ZDB-GENE-000629-1	SO:0001217	rplp0	58101
ZDB-GENE-000629-2	SO:0001217	ngfb	58133
ZDB-GENE-000629-3	SO:0001217	ybx1	795398
ZDB-GENE-000705-1	SO:0001217	kdrl	796537
ZDB-GENE-000710-1	SO:0001217	gpr173	57926
ZDB-GENE-000710-2	SO:0001217	gpr85	793299
ZDB-GENE-000710-3	SO:0001217	nme6	58120
ZDB-GENE-000710-4	SO:0001217	zic2a	58077
ZDB-GENE-000710-6	SO:0001217	mxtx2	58078
ZDB-GENE-000710-7	SO:0001217	mxtx1	100149566
ZDB-GENE-000713-1	SO:0001217	casp8	58022
ZDB-GENE-000804-1	SO:0001217	per3	58107
ZDB-GENE-000816-1	SO:0001217	fgfr3	58129
ZDB-GENE-000822-1	SO:0001217	hoxc6b	58045
ZDB-GENE-000822-2	SO:0001217	hoxc1a	58046
ZDB-GENE-000822-3	SO:0001217	hoxc11b	570925
ZDB-GENE-000822-4	SO:0001217	hoxc13a	58059
ZDB-GENE-000822-5	SO:0001217	hoxc13b	58063
ZDB-GENE-000822-6	SO:0001217	hoxc12a	562600
ZDB-GENE-000823-1	SO:0001217	hoxa9a	58047
ZDB-GENE-000823-2	SO:0001217	hoxa9b	58048
ZDB-GENE-000823-3	SO:0001217	hoxa3a	58049
ZDB-GENE-000823-4	SO:0001217	hoxa4a	58050
ZDB-GENE-000823-5	SO:0001217	hoxa1a	58051
ZDB-GENE-000823-6	SO:0001217	hoxb5b	58052
ZDB-GENE-000823-7	SO:0001217	hoxb6b	58053
ZDB-GENE-000823-8	SO:0001217	hoxa11a	58061
ZDB-GENE-000823-9	SO:0001217	hoxa5a	58055
ZDB-GENE-000828-1	SO:0001217	scn8aa	58152
ZDB-GENE-000830-1	SO:0001217	nkx2.4b	58112
ZDB-GENE-000831-1	SO:0001217	pcxb	58068
ZDB-GENE-000831-2	SO:0001217	fth1a	58108
ZDB-GENE-000831-3	SO:0001217	slc3a2a	796322
ZDB-GENE-000831-4	SO:0001217	dnajc3b	58154
ZDB-GENE-000831-5	SO:0001217	cd81a	58031
ZDB-GENE-000831-6	SO:0001217	pim2	58054
ZDB-GENE-000901-1	SO:0001217	cd74a	58113
ZDB-GENE-000906-1	SO:0001217	sptb	58040
ZDB-GENE-000906-2	SO:0001217	hspe1	58041
ZDB-GENE-000906-3	SO:0001217	ctnnbip1	58117
ZDB-GENE-000906-4	SO:0001217	fzd9b	58023
ZDB-GENE-000920-1	SO:0001217	edn1	58032
ZDB-GENE-000921-2	SO:0001217	pdp2	58149
ZDB-GENE-000926-1	SO:0001217	atoh7	58216
ZDB-GENE-000928-1	SO:0001217	fech	58215
ZDB-GENE-001006-1	SO:0001217	fgf4	570435
ZDB-GENE-001019-1	SO:0001217	robo2	60309
ZDB-GENE-001020-1	SO:0001217	hmx3a	60310
ZDB-GENE-001030-2	SO:0001217	pax5	60636
ZDB-GENE-001030-3	SO:0001217	pax8	60637
ZDB-GENE-001030-4	SO:0001217	pax2b	60638
ZDB-GENE-001031-1	SO:0001217	pax6b	60639
ZDB-GENE-001101-1	SO:0001217	nos1	60658
ZDB-GENE-001103-1	SO:0001217	sox9a	60641
ZDB-GENE-001103-2	SO:0001217	sox9b	60642
ZDB-GENE-001103-3	SO:0001217	fezf2	60634
ZDB-GENE-001103-4	SO:0001217	cyp19a1b	60640
ZDB-GENE-001103-5	SO:0001217	cldn7b	60635
ZDB-GENE-001106-1	SO:0001217	wnt3a	60632
ZDB-GENE-001106-11	SO:0001217	nitr4a	60652
ZDB-GENE-001106-16	SO:0001217	nitr3b	60659
ZDB-GENE-001106-3	SO:0001217	nitr1i	60644
ZDB-GENE-001106-4	SO:0001217	nitr1c	60645
