NCBI Gene ID	ZFIN ID	PValue	logFC
100000775	ZDB-GENE-030131-688	0.179222655	-0.303117316
100000781	ZDB-GENE-041210-242	0.909916398	-0.183362774
100000787		0.005812868	0.960750372
100000797	ZDB-GENE-131121-129	0.911278191	-0.037132765
100000800	ZDB-GENE-120928-2	0.198043371	-0.352299554
100000808	ZDB-GENE-041210-305	0.670596093	0.267813423
100000814	ZDB-GENE-090713-3	0.007375561	-0.52629721
100000823		0.010606363	0.877405788
100000832		0.588047436	-0.190310505
100000836	ZDB-GENE-050522-202	0.935827862	0.066448934
100000842	ZDB-GENE-041114-189	0.784651821	0.106927783
100000844	ZDB-GENE-050208-42	0.000161099	0.602099848
100000855	ZDB-GENE-040625-59	0.403356475	0.305845787
100000859	ZDB-GENE-040426-2581	0.976776	0.012473954
100000862	ZDB-GENE-141212-9	0.006582466	0.967046463
100000883	ZDB-GENE-170530-5	0.80510123	0.12586887
100000884	ZDB-GENE-170829-1	0.579839992	0.108168187
100000886	ZDB-GENE-131127-476	0.016638582	0.968253383
100000890		0.962708362	-0.01713366
100000896	ZDB-GENE-100922-142	0.900650983	-0.032387115
100000923	ZDB-GENE-120703-35	0.886978005	0.067668514
100000931	ZDB-GENE-090512-5	0.001051447	-0.456534431
100000934	ZDB-GENE-130424-1	0.999230608	-0.000478081
100000938	ZDB-GENE-110131-9	0.603319901	0.197193218
100000948	ZDB-GENE-080204-88	0.125292985	-0.355838616
100000949	ZDB-GENE-130530-773	0.850609826	0.039344078
100000956	ZDB-GENE-041026-2	0.262066292	-0.209241131
100000959	ZDB-GENE-190430-1	0.446057629	0.530405189
100000981	ZDB-GENE-081104-48	0.45013121	0.300769897
100000984	ZDB-GENE-081104-194	0.946987425	0.035550031
100000992	ZDB-GENE-141216-417	0.865514628	0.078418726
100001008	ZDB-GENE-110718-3	0.103075429	-0.923183916
100001019		0.87736154	-0.105054743
100001029	ZDB-GENE-030131-4784	0.566120125	-0.385554472
100001035	ZDB-GENE-070705-331	0.117671269	1.409013533
100001066	ZDB-GENE-081104-302	0.901879093	-0.149498979
100001080	ZDB-GENE-130531-1	1.0	-1.002506228
100001092	ZDB-GENE-080422-1	0.242047858	0.504613716
100001110	ZDB-GENE-050208-584	1.0	-0.204533485
100001113	ZDB-GENE-080225-25	0.223799735	-0.219865662
100001114		0.040165457	0.460128502
100001119	ZDB-GENE-030131-3785	0.107859021	-0.366378223
100001127	ZDB-GENE-060526-154	0.004286689	-0.573046093
100001129	ZDB-GENE-110621-2	0.460696514	0.067642868
100001136		0.121024466	-0.373818785
100001138	ZDB-GENE-070912-135	0.726714288	0.225443804
100001148	ZDB-GENE-130603-23	0.499874198	-0.186315327
100001167	ZDB-GENE-070806-22	1.0	0.690836144
100001168	ZDB-GENE-111221-2	5.85e-05	0.679542417
100001169	ZDB-GENE-130603-100	0.813773593	-0.066202187
100001171	ZDB-GENE-100721-1	0.839755911	-0.138921827
100001178		0.204958368	-1.565745782
100001188	ZDB-GENE-091117-30	0.172183128	0.147798749
100001198	ZDB-GENE-030325-1	0.446363673	-0.117188475
100001210	ZDB-GENE-070912-136	0.835680353	0.11514029
100001219	ZDB-GENE-030616-608	0.024265265	-0.345697189
100001221	ZDB-GENE-070705-555	0.527541158	-0.164428244
100001225	ZDB-GENE-120104-5	0.920330243	-0.075228394
100001229	ZDB-GENE-131121-445	0.732688661	-0.203583855
100001239	ZDB-GENE-121214-302	0.097376645	0.656490324
100001241	ZDB-GENE-090828-5	0.306128471	-0.152888342
100001242	ZDB-GENE-030131-5120	0.769036948	-0.285555075
100001249	ZDB-GENE-120215-78	0.012404751	0.721130611
100001259		0.269224369	0.387436365
100001260	ZDB-GENE-050309-246	0.017629397	-0.411971431
100001267	ZDB-GENE-050309-150	0.1057022	0.263303754
100001285	ZDB-GENE-060503-88	0.011355671	-0.588457129
100001286		0.502754717	0.543430141
100001293	ZDB-GENE-030131-7377	0.007152331	0.474587467
100001296	ZDB-GENE-080219-18	0.010017433	0.842195736
100001297	ZDB-GENE-110908-1	0.418748901	-0.200271824
100001302	ZDB-GENE-121120-4	0.02080711	-0.861784052
100001316	ZDB-GENE-050417-133	0.16950342	-1.966461026
100001321	ZDB-GENE-131126-33	0.75896267	-0.202024535
100001329		0.284979264	0.583158794
100001340	ZDB-GENE-070912-676	0.738072111	-0.088300198
100001344		0.480539446	-0.613829729
100001353	ZDB-GENE-080204-95	0.408899822	-0.174939957
100001360	ZDB-GENE-131121-498	0.129558397	0.240280883
100001364	ZDB-GENE-070705-506	0.349669556	-0.83757233
100001372	ZDB-GENE-080327-13	0.79781229	0.139579278
100001405		0.417946517	-0.443396722
100001408	ZDB-GENE-121022-3	0.005755129	-0.645866291
100001416	ZDB-GENE-040426-963	0.014882883	0.702409612
100001417	ZDB-GENE-040426-1215	0.542868983	-0.187366538
100001421	ZDB-GENE-041111-209	0.000109216	0.854340779
100001423	ZDB-GENE-100422-10	0.833699025	-0.081638526
100001424	ZDB-GENE-070509-1	0.229395282	0.53187647
100001425	ZDB-GENE-040426-2606	0.62679411	0.119137745
100001432		0.5908319	-0.45502853
100001442	ZDB-GENE-061207-76	0.967894391	0.021481061
100001484	ZDB-GENE-050107-2	0.857524813	0.07769755
100001485	ZDB-GENE-090313-366	0.053147267	0.528549209
100001490		0.000137535	0.550746681
100001516	ZDB-GENE-050208-727	0.888504807	0.236707382
100001518	ZDB-GENE-091118-71	0.011575555	0.803808262
100001520	ZDB-GENE-141212-262	0.596569206	-0.282179776
100001530	ZDB-GENE-110805-2	0.309502484	0.762720076
100001531	ZDB-GENE-041114-161	0.081424079	0.767898097
100001532	ZDB-GENE-030616-594	0.230994281	0.159348646
100001537	ZDB-GENE-080721-4	1.0	0.601133753
100001552	ZDB-GENE-061220-4	0.116586133	-0.457380937
100001558	ZDB-GENE-090312-66	0.969226718	0.061776712
100001581	ZDB-GENE-131121-49	0.108480859	0.457163594
100001584	ZDB-GENE-081104-149	0.986395005	-0.003762251
100001603	ZDB-GENE-131119-53	0.388785096	-0.193475985
100001615	ZDB-GENE-030131-6223	0.048768406	0.221007421
100001620		0.522613986	-0.230202598
100001623	ZDB-GENE-061207-47	0.060253147	0.808506973
100001628	ZDB-GENE-050309-196	0.899781313	0.031768766
100001629	ZDB-GENE-030131-2592	0.322446605	0.457953873
100001644	ZDB-GENE-101026-5	0.635249432	-0.091680292
100001648	ZDB-GENE-050522-150	0.882180455	0.061138038
100001650	ZDB-GENE-030131-8107	0.25078521	-0.283828496
100001663	ZDB-GENE-081104-408	0.171176676	-0.258690171
100001665		0.118731347	0.458229871
100001676		0.665494482	0.13193908
100001681	ZDB-GENE-081105-40	0.544943158	-0.152249602
100001684		0.073864005	0.393474355
100001692	ZDB-GENE-070130-1	0.764460191	0.126639674
100001699	ZDB-GENE-050913-153	0.420610323	0.330832859
100001718	ZDB-GENE-131121-649	0.854068782	0.226929029
100001725		0.014286432	-0.425297977
100001739		0.542868983	0.713594645
100001748	ZDB-GENE-111020-11	0.124930152	-0.275788891
100001751	ZDB-GENE-100913-1	0.028008263	-0.375493942
100001777		0.869597501	0.163114904
100001781	ZDB-GENE-071024-1	0.21725556	-0.436152792
100001785	ZDB-GENE-121214-39	0.19334809	0.454206193
100001805		0.766106139	0.080024057
100001810	ZDB-GENE-141211-6	0.002226611	1.314818238
100001826	ZDB-GENE-081104-442	0.604856812	-0.25836693
100001828	ZDB-GENE-071203-1	0.719748301	0.127692998
100001832		0.777533173	-0.087844855
100001834	ZDB-GENE-141212-320	0.208652811	-0.703459341
100001836	ZDB-GENE-071207-2	0.770147327	0.123119343
100001845	ZDB-GENE-130530-826	0.009156231	0.744929404
100001853	ZDB-GENE-030131-4173	0.230994281	-0.28015497
100001876		0.129276338	-0.327337121
100001877	ZDB-GENE-141212-148	0.066843117	-0.955768555
100001879	ZDB-GENE-131126-2	1.7e-05	1.686514187
100001880	ZDB-GENE-131121-181	0.595603726	-0.213734136
100001887		0.152851697	-0.735569219
100001896	ZDB-GENE-070912-291	0.059113193	0.240634044
100001903		0.7986136	0.090917101
100001904	ZDB-GENE-030131-9888	0.822980438	0.033066939
100001905	ZDB-GENE-030131-2209	0.1246437	0.42272141
100001906	ZDB-GENE-030131-2523	0.497524165	-0.08378371
100001914	ZDB-GENE-070424-86	0.003188053	1.649875701
100001920	ZDB-GENE-121214-166	0.172664509	0.542955077
100001934	ZDB-GENE-070821-2	0.296511991	0.806402945
100001936	ZDB-GENE-030131-7523	0.310236283	0.229413655
100001940	ZDB-GENE-030131-8217	0.103702891	0.571199968
100001978	ZDB-GENE-060526-155	0.51346952	-0.226244638
100001980	ZDB-GENE-030131-5484	0.806328393	-0.065706381
100001989	ZDB-GENE-081107-36	0.706155394	-0.449860337
100001991		0.58902945	-0.357207666
100002007	ZDB-GENE-121005-1	0.719705064	0.130491702
100002010	ZDB-GENE-050517-15	0.249195273	0.164311597
100002012	ZDB-GENE-080220-2	0.266468563	-0.432091937
100002014		0.314893087	0.361338443
100002015		0.000598795	0.802138242
100002020	ZDB-GENE-081104-528	0.636314789	-0.485097445
100002026		0.204061523	-0.266891716
100002034	ZDB-GENE-030616-153	0.080449125	-0.215502406
100002035	ZDB-GENE-080220-22	0.000265534	-0.551590041
100002040	ZDB-GENE-081124-1	0.01318872	-0.603445177
100002043		0.003789356	0.839084675
100002045	ZDB-GENE-140106-237	0.444862922	-0.390234032
100002059		0.953905912	-0.024918506
100002060	ZDB-GENE-110421-4	0.972064375	-0.00914632
100002070	ZDB-GENE-070912-330	0.696872708	0.375675151
100002071		0.541078749	-0.40012208
100002072	ZDB-GENE-070912-530	0.014880974	-0.243491509
100002086	ZDB-GENE-070705-79	0.374950216	0.791154153
100002095	ZDB-GENE-070424-37	0.932523869	-0.032991153
100002104	ZDB-GENE-111109-3	0.874674664	-0.145699518
100002108	ZDB-GENE-070424-226	0.990204501	0.007532899
100002110	ZDB-GENE-040724-16	0.620642059	0.288015831
100002129	ZDB-GENE-070501-4	0.64209784	-0.10457014
100002134		0.905800215	-0.046742695
100002136	ZDB-GENE-070912-214	0.770147327	0.097082008
100002145	ZDB-GENE-041008-80	0.602208413	0.215505511
100002155	ZDB-GENE-030131-4694	1.65e-05	-0.366859275
100002173	ZDB-GENE-111109-2	0.871197006	-0.129546115
100002175	ZDB-GENE-040718-215	0.269594699	-0.278623548
100002182	ZDB-GENE-141222-10	0.010481835	0.609976978
100002184	ZDB-GENE-030131-740	0.880889522	-0.040535637
100002190	ZDB-GENE-120612-1	0.016531241	-0.520452981
100002194	ZDB-GENE-070117-1989	0.457926706	-0.158444112
100002196	ZDB-GENE-141219-2	0.003347173	0.362684206
100002197	ZDB-GENE-141222-57	0.139507518	-0.247364379
100002200	ZDB-GENE-081120-4	0.774899995	-0.11918542
100002203	ZDB-GENE-070912-636	0.917821172	0.028039896
100002220		0.039998419	0.443022737
100002223	ZDB-GENE-081105-107	0.004604165	-0.45518409
100002225	ZDB-GENE-080219-34	0.002524053	0.714441929
100002227		0.013094327	0.456436517
100002232	ZDB-GENE-050419-161	1.0	-0.909236103
100002234	ZDB-GENE-080208-5	0.31098434	0.422688362
100002236	ZDB-GENE-030131-3038	0.887992967	-0.026037624
100002243	ZDB-GENE-030131-8579	0.049789924	-0.477636768
100002256		0.567427995	-0.355476504
100002261	ZDB-GENE-020419-18	0.058349775	0.249804428
100002263	ZDB-GENE-030131-1904	0.050647157	0.250977707
100002266	ZDB-GENE-081028-31	0.080168794	0.555606264
100002268		0.690661861	-0.190934288
100002269	ZDB-GENE-071004-18	0.062587446	0.279220577
100002270	ZDB-GENE-050420-366	0.923896839	0.095475579
100002272	ZDB-GENE-050417-257	0.973058442	0.01605022
100002283		0.802507936	-0.126860412
100002292	ZDB-GENE-060130-85	0.005164315	0.520473666
100002293	ZDB-GENE-050522-402	0.982973186	0.010128643
100002302	ZDB-GENE-080204-109	0.085343101	0.618000587
100002307	ZDB-GENE-080204-2	0.636562535	0.574186876
100002310	ZDB-GENE-100922-31	0.848315383	0.165573049
100002312		0.936298029	-0.110924606
100002318	ZDB-GENE-041111-17	0.47202965	0.153686591
100002322	ZDB-GENE-110914-121	0.31131414	0.435457046
100002333	ZDB-GENE-061009-50	0.595276335	0.275787957
100002334	ZDB-GENE-080303-11	0.567722779	0.335745503
100002342	ZDB-GENE-091204-331	0.794159602	-0.067706934
100002345	ZDB-GENE-070705-373	0.815418461	0.258599528
100002364	ZDB-GENE-080219-1	0.914372055	-0.023220203
100002366	ZDB-GENE-070212-2	0.461458905	-0.24253018
100002371	ZDB-GENE-060526-374	0.710522159	-0.116533203
100002384	ZDB-GENE-100525-2	0.600075615	0.261070797
