	Disease ID
532	H02511
533	H02512
534	H02516
535	H02598
536	H02599
537	H02600
538	H02601
539	H02602
540	H02603
541	H02604
542	H02605
543	H02626
